Date,Close,Volume,Open,High,Low
05/23/2019,179.66,36529740,179.8,180.54,177.81
05/24/2019,178.97,23714690,180.2,182.14,178.62
05/28/2019,178.23,27948160,178.92,180.59,177.91
05/29/2019,177.38,28481170,176.42,179.35,176
05/30/2019,178.3,21218410,177.95,179.23,176.67
05/31/2019,175.07,27043580,176.23,177.99,174.99
06/03/2019,173.3,40396070,175.6,177.92,170.27
06/04/2019,179.64,30967960,175.44,179.83,174.52
06/05/2019,182.54,29773430,184.28,184.99,181.14
06/06/2019,185.22,22526310,183.08,185.47,182.1489
06/07/2019,190.15,30684390,186.51,191.92,185.77
06/10/2019,192.58,26220850,191.81,195.37,191.62
06/11/2019,194.81,26932880,194.86,196,193.6
06/12/2019,194.19,18253190,193.95,195.97,193.385
06/13/2019,194.15,21674630,194.7,196.79,193.6
06/14/2019,192.74,18761470,191.545,193.5863,190.3
06/17/2019,193.89,14669140,192.9,194.96,192.17
06/18/2019,198.45,26551000,196.05,200.29,195.21
06/19/2019,197.87,21124240,199.68,199.88,197.31
06/20/2019,199.46,21513990,200.37,200.61,198.03
06/21/2019,198.78,47800590,198.8,200.85,198.15
06/24/2019,198.58,18220420,198.54,200.16,198.17
06/25/2019,195.57,21070330,198.43,199.26,195.29
06/26/2019,199.8,26067510,197.77,200.99,197.35
06/27/2019,199.74,20899720,200.29,201.57,199.57
06/28/2019,197.92,31110640,198.68,199.495,197.05
07/01/2019,201.55,27316740,203.17,204.49,200.65
07/02/2019,202.73,16935220,201.41,203.1323,201.36
07/03/2019,204.41,11362050,203.28,204.44,202.6901
07/05/2019,204.23,17265520,203.35,205.08,202.9
07/08/2019,200.02,25338630,200.81,201.4,198.41
07/09/2019,201.24,20578020,199.2,201.51,198.81
07/10/2019,203.23,17897140,201.85,203.73,201.56
07/11/2019,201.75,20191840,203.31,204.39,201.71
07/12/2019,203.3,17595210,202.45,204,202.2
07/15/2019,205.21,16947420,204.09,205.87,204
07/16/2019,204.5,16866820,204.59,206.11,203.5
07/17/2019,203.35,14107450,204.05,205.0915,203.27
07/18/2019,205.66,18582160,204,205.88,203.7
07/19/2019,202.59,20929310,205.79,206.5,202.36
07/22/2019,207.22,22277930,203.65,207.23,203.61
07/23/2019,208.84,18355210,208.46,208.91,207.29
07/24/2019,208.67,14991570,207.67,209.15,207.17
07/25/2019,207.02,13909560,208.89,209.24,206.73
07/26/2019,207.74,17618870,207.48,209.73,207.14
07/29/2019,209.68,21673390,208.46,210.64,208.44
07/30/2019,208.78,33935720,208.76,210.16,207.31
07/31/2019,213.04,69281360,216.42,221.37,211.3
08/01/2019,208.43,54017920,213.9,218.03,206.7435
08/02/2019,204.02,40862120,205.53,206.43,201.63
08/05/2019,193.34,52392970,197.99,198.649,192.58
08/06/2019,197,35824790,196.31,198.067,194.04
08/07/2019,199.04,33364400,195.41,199.56,193.82
08/08/2019,203.43,27009520,200.2,203.53,199.39
08/09/2019,200.99,24619750,201.3,202.76,199.29
08/12/2019,200.48,22481890,199.62,202.0516,199.15
08/13/2019,208.97,47539790,201.02,212.14,200.83
08/14/2019,202.75,36547440,203.16,206.44,202.5869
08/15/2019,201.74,27883360,203.46,205.14,199.67
08/16/2019,206.5,28813620,204.28,207.16,203.84
08/19/2019,210.35,24431920,210.62,212.7307,210.025
08/20/2019,210.36,26919530,210.88,213.35,210.32
08/21/2019,212.64,21564750,212.99,213.65,211.6032
08/22/2019,212.46,22267820,213.19,214.435,210.75
08/23/2019,202.64,46882840,209.43,212.051,201
08/26/2019,206.49,26066130,205.86,207.19,205.0573
08/27/2019,204.16,25897340,207.86,208.55,203.53
08/28/2019,205.53,15957630,204.1,205.72,203.32
08/29/2019,209.01,21007650,208.5,209.32,206.655
08/30/2019,208.74,21162560,210.16,210.45,207.2
09/03/2019,205.7,20059570,206.43,206.98,204.22
09/04/2019,209.19,19216820,208.39,209.48,207.32
09/05/2019,213.28,23946880,212,213.97,211.51
09/06/2019,213.26,19362290,214.05,214.42,212.51
09/09/2019,214.17,27309400,214.84,216.44,211.07
09/10/2019,216.7,31777930,213.86,216.78,211.71
09/11/2019,223.59,44289650,218.07,223.71,217.73
09/12/2019,223.085,32226670,224.8,226.42,222.86
